cep_inicial;cep_final
59590000;59591999
59582000;59583999
19800000;19819999
85727000;85729999
89760000;89764999
79570000;79599999
57275000;57275999
95200001;95229999
64850000;64854999
84400000;84429999
99530000;99559999
29880000;29884999
32900001;32919999
12631000;12689999
35685000;35689999
11085400;11085400
36409801;36417999
99300000;99314999
87330000;87339999
29750000;29759999
39540000;39546999
68650000;68654999
64740000;64744999
59440000;59459999
76888000;76888999
55340000;55344999
95310000;95314999
27300000;27399999
2000000;2137999
43851000;43899999
78560000;78560999
37775000;37777999
18147000;18149999
8400000;8473515
37564000;37565999
23000000;23099999
11542191;11542199
2288000;2299999
45440000;45442999
36974000;36975769
15820000;15822999
13840000;13856999
87690000;87699999
17580000;17580000
88845000;88849999
37212000;37214999
11450480;11450500
89874000;89874999
39120000;39129999
65706000;65713999
77650000;77654999
75265000;75329999
75713970;75800000
75175000;75179999
13190000;13199999
11086511;11086529
23970000;23999999
77680000;77684999
63650000;63659999
63620000;63629999
68660000;68660999
44340000;44344999
2979970;2999999
3220200;3220999
65480000;65484999
26300000;26399999
8112000;8190969
11446365;11446365
40393000;40393249
99523000;99524999
11390661;11399999
59350000;59354999
89190000;89193999
72800001;72859999
86940000;86944999
58233000;58234999
12270000;12279999
64221000;64221999
46750000;46759999
64105000;64107999
64480000;64489999
64830000;64832999
64615000;64617999
64800000;64814999
64525000;64527999
28375000;28379999
88828000;88829999
80000000;82999999
35370000;35379999
64325000;64325999
76931000;76931999
35277000;35279999
87860000;87879999
11088342;11088349
99140000;99144999
11086180;11086470
15490000;15494999
14470000;14489999
88890000;88899999
86630000;86634999
65753000;65759999
65000001;65030500
65204000;65209999
13480000;13489999
78253000;78259999
86970000;86974999
12970000;12979999
64800000;64800999
35140000;35140999
65923000;65926999
89157000;89159999
88935000;88939999
85162000;85167999
39700000;39700999
92510001;92529999
95948000;95949999
85415000;85419999
87120000;87129999
65520000;65534999
97000001;97119999
88230000;88239999
62184000;62189999
54600000;54699999
51300000;51399999
55770000;55779999
87630000;87639999
93200001;93249999
44255000;44259999
69415000;69424999
29613000;29614999
15370000;15373999
79540000;79555999
68632000;68632999
87325000;87329999
39320000;39327999
29630000;29639999
36480000;36499999
39336000;39337999
39868000;39869999
77670000;77672999
39260000;39269999
58294000;58294999
68280000;68284999
3500000;3550999
2000000;2099969
21200000;21210999
17580001;17589999
11432251;11432269
11470041;11470059
16880001;16899999
85340000;85344999
44150000;44159999
88735000;88739999
83840000;83849999
3800000;3826969
76862000;76862999
89897000;89897999
86375000;86379999
77753000;77754999
77580000;77584999
77675000;77679999
76470000;76554999
77651000;77654999
11335003;11335210
15710000;15712999
62850000;62859999
62200000;62209999
11461461;11461479
99952000;99954999
29285000;29289999
84990000;84999999
76995000;76995999
86385000;86389999
85530000;85539999
85600001;85609999
87155000;87159999
88240000;88259999
36906493;36912999
88850000;88859999
78550000;78558999
45972000;45979999
97610000;97639999
38860000;38869999
57730000;57730999
12830000;12849999
11432516;11432524
86460000;86464999
97540001;97551999
64456000;64459999
64450000;64452999
96878000;96879999
58815000;58816999
49920000;49929999
34000000;34001999
59905000;59907999
11450241;11450269
11441171;11441189
57425000;57425999
17381000;17399999
68710000;68718999
37000000;37109999
59805000;59807999
11360080;11360110
17230000;17239999
88220000;88229999
15320000;15329999
55530000;55534999
5362000;5362999
11085585;11085585
79790000;79799999
11355425;11355425
86310000;86314999
95170001;95181999
97400000;97409999
88385000;88389999
43850000;43850999
68285000;68299999
46980000;46989999
